,age,ast_per_g,award_share,blk_per_g,fg3_pct,fg_pct,ft_pct,g,link,mp_per_g,player,points_max,points_won,pts_per_g,stl_per_g,team_id,trb_per_g,votes_first,ws,ws_per_48
179,21,0.9,0.002,0.2,.384,.446,.843,61,/players/j/jenkijo01.html,14.8,John Jenkins,605,1.0,6.1,0.2,ATL,1.5,0.0,1.7,.091
180,22,6.3,0.918,0.6,.264,.405,.703,70,/players/c/cartemi01.html,34.5,Michael Carter-Williams,620,569.0,16.7,1.9,PHI,6.2,104.0,1.3,.026
181,21,4.1,0.587,0.5,.327,.419,.780,80,/players/o/oladivi01.html,31.1,Victor Oladipo,620,364.0,13.8,1.6,ORL,4.1,16.0,1.3,.026
182,21,5.7,0.155,0.1,.330,.380,.903,70,/players/b/burketr01.html,32.3,Trey Burke,620,96.0,12.8,0.6,UTA,3.0,1.0,0.9,.020
183,23,0.9,0.094,0.8,.000,.659,.626,70,/players/p/plumlma01.html,18.2,Mason Plumlee,620,58.0,7.4,0.7,BRK,4.4,2.0,4.7,.176
184,21,0.8,0.037,0.1,.363,.428,.828,81,/players/h/hardati02.html,23.1,Tim Hardaway,620,23.0,10.2,0.5,NYK,1.5,1.0,3.1,.080
185,24,0.7,0.005,0.8,1.000,.498,.634,60,/players/d/dienggo01.html,13.6,Gorgui Dieng,620,3.0,4.8,0.5,MIN,5.0,0.0,2.2,.129
186,20,0.5,0.002,0.7,,.503,.581,81,/players/a/adamsst01.html,14.8,Steven Adams,620,1.0,3.3,0.5,OKC,4.1,0.0,2.9,.114
187,19,1.9,0.002,0.8,.347,.414,.683,77,/players/a/antetgi01.html,24.6,Giannis Antetokounmpo,620,1.0,6.8,0.8,MIL,4.4,0.0,1.2,.031
188,24,2.9,0.002,0.1,.311,.457,.611,71,/players/c/calatni01.html,16.5,Nick Calathes,620,1.0,4.9,0.9,MEM,1.9,0.0,1.5,.062
189,19,2.1,0.929,0.6,.310,.437,.760,82,/players/w/wiggian01.html,36.2,Andrew Wiggins,650,604.0,16.9,1.0,MIN,4.6,110.0,2.1,.034
190,23,1.2,0.515,0.7,.316,.405,.803,82,/players/m/mirotni01.html,20.2,Nikola Mirotić,650,335.0,10.2,0.7,CHI,4.9,14.0,5.7,.165
191,20,1.7,0.217,1.9,,.462,.609,75,/players/n/noelne01.html,30.8,Nerlens Noel,650,141.0,9.9,1.8,PHI,8.1,3.0,4.0,.083
192,20,6.5,0.122,0.2,.262,.425,.551,82,/players/p/paytoel01.html,30.4,Elfrid Payton,650,79.0,8.9,1.7,ORL,4.3,3.0,2.3,.044
193,20,3.1,0.009,0.3,.335,.367,.646,67,/players/s/smartma01.html,27.0,Marcus Smart,650,6.0,7.8,1.5,BOS,3.3,0.0,2.9,.077
194,20,0.8,0.005,1.1,.000,.446,.636,62,/players/n/nurkiju01.html,17.8,Jusuf Nurkić,650,3.0,6.9,0.8,DEN,6.2,0.0,1.6,.069
195,22,3.5,0.003,0.2,.314,.448,.829,59,/players/c/clarkjo01.html,25.0,Jordan Clarkson,650,2.0,11.9,0.9,LAL,3.2,0.0,2.4,.078
